Jornada_num,team_a,team_b,win,NET_diff,OER_diff,DER_diff,eFG_diff,ORB_diff,AST_diff,TOV_diff,pos_part_diff
3,979919,981492,0,6.86281533331778,14.127599397794796,7.264784064477006,16.5277777777778,-8.7912087912088,-3.9434897384481005,1.5651122936627502,-2.299999999999997
3,981288,981206,0,-11.83405520576385,-3.640564167179896,8.193491038584,1.3805358119191027,-11.329755515802002,-0.37344438072600106,2.1071233883270892,4.760000000000005
3,979912,981334,0,-2.0871997126798902,-14.092772460014594,-12.005572747334703,-18.908188585607896,-10.782241014799201,-6.42856279818,-2.848078880665909,-5.039999999999992
3,981334,979912,1,2.0871997126798902,14.092772460014594,12.005572747334703,18.908188585607896,10.782241014799201,6.42856279818,2.848078880665909,5.039999999999992
3,981208,979971,0,-1.91716390690606,-3.816413676902606,-1.8992497699965014,-4.187779433681101,-7.4190177638453,5.860282039726702,2.13494361051212,-1.2399999999999949
3,979988,979770,0,-10.81531694542631,-4.843711887525501,5.9716050579007955,-0.21522733387140391,-8.684210526315798,-6.3880826393155985,0.46216198979320033,1.2600000000000051
3,981213,979952,1,7.56314722080464,-4.173876467211002,-11.737023688015597,-13.013698630137,29.277813923227097,-3.6808631437687005,2.381061548439231,1.5799999999999983
3,979952,981288,1,12.03214896484551,6.697111137537398,-5.335037827308199,10.4838709677419,-17.8603006189213,8.4210057309622,-3.0885105214279296,3.219999999999999
3,981206,981288,1,11.83405520576385,3.640564167179896,-8.193491038584,-1.3805358119191027,11.329755515802002,0.37344438072600106,-2.1071233883270892,-4.760000000000005
3,979971,981208,1,1.91716390690606,3.816413676902606,1.8992497699965014,4.187779433681101,7.4190177638453,-5.860282039726702,-2.13494361051212,1.2399999999999949
3,981356,981242,0,-4.197561932688809,-2.1938975208025013,2.003664411886305,-2.569710224166201,1.1111111111111,-6.988085851002889,-1.64164127324055,1.3000000000000114
3,981492,979919,1,-6.86281533331778,-14.127599397794796,-7.264784064477006,-16.5277777777778,8.7912087912088,3.9434897384481005,-1.5651122936627502,2.299999999999997
3,981306,981346,0,3.8430890415282395,1.1426475893863994,-2.700441452141895,3.221985311537594,-4.2471042471043,-2.292803806795302,-3.85792862061117,-1.6400000000000006
3,979770,979988,1,10.81531694542631,4.843711887525501,-5.9716050579007955,0.21522733387140391,8.684210526315798,6.3880826393155985,-0.46216198979320033,-1.2600000000000051
3,981242,981356,1,4.197561932688809,2.1938975208025013,-2.003664411886305,2.569710224166201,-1.1111111111111,6.988085851002889,1.64164127324055,-1.3000000000000114
3,981346,981306,1,-3.8430890415282395,-1.1426475893863994,2.700441452141895,-3.221985311537594,4.2471042471043,2.292803806795302,3.85792862061117,1.6400000000000006
4,979971,979770,0,3.345364494011685,9.164704379857156,5.819339885845494,10.915397775636748,-3.82251082251085,1.1512284887177024,-5.269934592291339,0.5200000000000102
4,981206,981356,0,11.062068501245854,7.401387884499798,-3.6606806167459993,14.537004821313197,10.842710677669402,10.394689920055445,-0.01677381352426366,0.09999999999999432
4,979988,981288,0,-3.2154095145991803,-5.588975299998154,-2.373565785399009,-2.2435667613763997,-6.065579749790302,-2.23886835233375,2.348099911353202,0.4300000000000068
4,979952,979988,1,11.708109834317545,6.974329480829098,-4.733780353488399,4.758927744479301,-0.8908863491440471,6.4889604545124495,-2.6502715696904513,-0.28000000000001535
4,981213,981346,1,6.40329707055464,-12.763459973586997,-19.166757044141647,-14.752710383510198,-3.508006976375455,-2.5379940269863113,0.22881815276313588,0.5999999999999943
4,981346,981213,0,-6.40329707055464,12.763459973586997,19.166757044141647,14.752710383510198,3.508006976375455,2.5379940269863113,-0.22881815276313588,-0.5999999999999943
4,979770,979971,1,-3.345364494011685,-9.164704379857156,-5.819339885845494,-10.915397775636748,3.82251082251085,-1.1512284887177024,5.269934592291339,-0.5200000000000102
4,981492,981208,1,4.0932084054132725,-0.00026043221104998793,-4.093468837624343,-1.463189588189607,-1.721139281283648,-0.8282745882006992,-4.00944448321753,3.780000000000001
4,981306,979912,1,-10.66149608383365,8.192317305278493,18.853813389112105,11.332696528415994,-3.432913077235952,2.9496890604964676,-1.1987460741775742,1.9200000000000017
4,981356,981206,1,-11.062068501245854,-7.401387884499798,3.6606806167459993,-14.537004821313197,-10.842710677669402,-10.394689920055445,0.01677381352426366,-0.09999999999999432
4,981242,981334,0,-7.326217113940659,-7.149321241955249,0.17689587198545098,-9.648673724671546,-10.6236786469345,-3.4312718759729,-1.952055732099799,-5.460000000000008
4,981288,979988,1,3.2154095145991803,5.588975299998154,2.373565785399009,2.2435667613763997,6.065579749790302,2.23886835233375,-2.348099911353202,-0.4300000000000068
4,981208,981492,0,-4.0932084054132725,0.00026043221104998793,4.093468837624343,1.463189588189607,1.721139281283648,0.8282745882006992,4.00944448321753,-3.780000000000001
4,981334,981242,1,7.326217113940659,7.149321241955249,-0.17689587198545098,9.648673724671546,10.6236786469345,3.4312718759729,1.952055732099799,5.460000000000008
4,979912,981306,0,10.66149608383365,-8.192317305278493,-18.853813389112105,-11.332696528415994,3.432913077235952,-2.9496890604964676,1.1987460741775742,-1.9200000000000017
