"ID","NOM","GP","GS","MIN","PTS","T1A","T1I","T2A","T2I","T3A","T3I","OREB","DREB","TREB","ASIS","REC","PER","FC","FR","PLUSMINUS","VAL","FGM","FGA","T1%","T2%","T3%","eFG%","TS%","poss_used","PPP","PTS_pg","MIN_pg","T1A_pg","T1I_pg","T2A_pg","T2I_pg","T3A_pg","T3I_pg","OREB_pg","DREB_pg","TREB_pg","ASIS_pg","REC_pg","PER_pg","FC_pg","FR_pg","TEAM","TEAM_id"
"1721468","C. VILLAMOR APARICIO",5,0,52.72,6,0,2,0,3,2,9,1,3,4,4,1,4,4,4,-36,-1,2,12,0,0,0.22,0.25,0.23,16.88,0.36,1.2,10.54,0,0.4,0,0.6,0.4,1.8,0.2,0.6,0.8,0.8,0.2,0.8,0.8,0.8,"FUSTECMA NBF CASTELLÓ",979988
"2087212","L. RUIZ DE LA HERMOSA ARCE",15,5,277.9,54,11,31,11,42,7,35,3,16,19,22,11,19,23,29,-49,16,18,77,0.35,0.26,0.2,0.28,0.3,109.64,0.49,3.6,18.53,0.73,2.07,0.73,2.8,0.47,2.33,0.2,1.07,1.27,1.47,0.73,1.27,1.53,1.93,"FUSTECMA NBF CASTELLÓ",979988
"2102573","A. FERRI MONTAGUD",12,11,329.1,86,12,17,19,48,12,42,17,41,58,28,17,20,15,24,3,114,31,90,0.71,0.4,0.29,0.41,0.44,117.48,0.73,7.17,27.42,1,1.42,1.58,4,1,3.5,1.42,3.42,4.83,2.33,1.42,1.67,1.25,2,"FUSTECMA NBF CASTELLÓ",979988
"2131367","S. BASAEZ NARVAEZ",15,4,344.98,129,30,40,27,73,15,41,8,30,38,45,29,34,23,41,-2,144,42,114,0.75,0.37,0.37,0.43,0.49,165.6,0.78,8.6,23,2,2.67,1.8,4.87,1,2.73,0.53,2,2.53,3,1.93,2.27,1.53,2.73,"FUSTECMA NBF CASTELLÓ",979988
"2144678","L. JOVENA MESEGUER",14,1,155.15,44,16,23,14,35,0,0,12,15,27,4,8,10,28,16,-14,33,14,35,0.7,0.4,NA,0.4,0.49,55.12,0.8,3.14,11.08,1.14,1.64,1,2.5,0,0,0.86,1.07,1.93,0.29,0.57,0.71,2,1.14,"FUSTECMA NBF CASTELLÓ",979988
"2264676","A. GARCIA HARO",2,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FUSTECMA NBF CASTELLÓ",979988
"2274867","L. DE GIACOMO",15,13,287.68,67,7,13,27,71,2,6,23,37,60,9,19,22,27,11,-31,67,29,77,0.54,0.38,0.33,0.39,0.4,104.72,0.64,4.47,19.18,0.47,0.87,1.8,4.73,0.13,0.4,1.53,2.47,4,0.6,1.27,1.47,1.8,0.73,"FUSTECMA NBF CASTELLÓ",979988
"2281318","S. BELLOCH DELGADO",3,0,0.53,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,0,NA,0,0.18,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,"FUSTECMA NBF CASTELLÓ",979988
"2383616","F. ASEMOTA AUGUSTINE",2,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,-1,0,0,NA,NA,NA,NA,NA,0,NA,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,"FUSTECMA NBF CASTELLÓ",979988
"2815082","M. AGYEI",15,13,363.9,87,14,25,23,62,9,48,25,31,56,5,16,23,34,22,-33,42,32,110,0.56,0.37,0.19,0.33,0.36,144,0.6,5.8,24.26,0.93,1.67,1.53,4.13,0.6,3.2,1.67,2.07,3.73,0.33,1.07,1.53,2.27,1.47,"FUSTECMA NBF CASTELLÓ",979988
